buildA,buildB,labelA,labelB,seedIndex,seed,winner,durationSeconds,timeout,hpA,hpB
brawler-base,gunner-base,Brawler base,Gunner base,54,399541149,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,55,382763530,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,56,365985911,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,57,349208292,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,58,198209721,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,59,181432102,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,60,2580778714,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,61,2597556333,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,62,2547223476,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,63,2564001095,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,64,2513668238,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,65,2530445857,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,66,2480113000,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,67,2496890619,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,68,2446557762,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,69,2463335381,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,70,2144707715,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,71,2127930096,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,72,2178262953,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,73,2161485334,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,74,2211818191,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,75,2195040572,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,76,2245373429,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,77,2228595810,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,78,2278928667,b,13.15,false,0,27
brawler-base,gunner-base,Brawler base,Gunner base,79,2262151048,b,13.15,false,0,27
brawler-base,mage-base,Brawler base,Mage base,0,3594112899,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,1,3577335280,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,2,3627668137,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,3,3610890518,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,4,3661223375,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,5,3644445756,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,6,3694778613,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,7,3678000994,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,8,3728333851,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,9,3711556232,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,10,1778312512,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,11,1795090131,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,12,1811867750,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,13,1828645369,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,14,1845422988,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,15,1862200607,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,16,1878978226,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,17,1895755845,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,18,1912533464,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,19,1929311083,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,20,4228286171,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,21,4211508552,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,22,4261841409,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,23,4245063790,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,24,429351,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,25,4278619028,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,26,33984589,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,27,17206970,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,28,4094065219,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,29,4077287600,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,30,4127473362,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,31,4144250981,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,32,4093918124,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,33,4110695743,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,34,4060362886,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,35,4077140505,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,36,4026807648,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,37,4043585267,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,38,4261694314,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,39,4278471933,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,40,2282479725,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,41,2265702106,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,42,2248924487,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,43,2232146868,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,44,2215369249,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,45,2198591630,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,46,2181814011,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,47,2165036392,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,48,2148258773,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,49,2131481154,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,50,34131684,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,51,50909303,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,52,67686922,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,53,84464541,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,54,4261988504,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,55,4278766123,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,56,576446,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,57,17354065,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,58,4194878028,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,59,4211655647,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,60,1947221535,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,61,1930443916,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,62,1980776773,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,63,1963999154,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,64,1880111059,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,65,1863333440,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,66,1913666297,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,67,1896888678,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,68,2081442487,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,69,2064664868,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,70,1846408726,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,71,1863186345,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,72,1812853488,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,73,1829631107,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,74,1913519202,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,75,1930296821,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,76,1879963964,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,77,1896741583,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,78,1980629678,b,14.05,false,0,5
brawler-base,mage-base,Brawler base,Mage base,79,1997407297,b,14.05,false,0,5
brawler-base,brawler-common-build,Brawler base,Brawler common Power-Ups,0,2799344955,a,13.45,false,0,0
brawler-base,brawler-common-build,Brawler base,Brawler common Power-Ups,1,2782567336,a,13.45,false,0,0
brawler-base,brawler-common-build,Brawler base,Brawler common Power-Ups,2,2832900193,a,13.45,false,0,0
brawler-base,brawler-common-build,Brawler base,Brawler common Power-Ups,3,2816122574,a,13.45,false,0,0
brawler-base,brawler-common-build,Brawler base,Brawler common Power-Ups,4,2866455431,a,13.45,false,0,0
