suite,targetBuild,opponentBuild,targetLabel,opponentLabel,orientation,seedIndex,seed,targetWon,winner,durationSeconds,timeout,hpA,hpB,powerUpTriggers,tier,winPoints
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,23,2085796911,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,23,1231404100,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,24,2035464054,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,24,1214626481,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,25,2052241673,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,25,1197848862,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,26,2001908816,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,26,1181071243,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,27,2018686435,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,27,1164293624,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,28,2236795482,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,28,1147516005,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,29,2253573101,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,29,1130738386,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,30,2203387339,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,30,1180924148,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,31,2186609720,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,31,1197701767,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,32,2236942577,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,32,1214479386,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,33,2220164958,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,33,1231257005,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,34,2270497815,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,34,1113813672,false,a,13.85,false,243,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-a,35,2253720196,true,a,14.25,false,40,0,0,,
role-matrix,brawler-base,longshot-base,Brawler base,Longshot base,target-b,35,1130591291,false,a,13.85,false,243,0,0,,
