targetBuild,opponentBuild,targetLabel,opponentLabel,orientation,seedIndex,seed,targetWon,winner,durationSeconds,timeout,hpA,hpB
brawler-base,brawler-base,Brawler base,Brawler base,target-b,78,168576808,false,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-a,79,1443984212,true,a,13.45,false,0,0
brawler-base,brawler-base,Brawler base,Brawler base,target-b,79,185354427,false,a,13.45,false,0,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,0,2616585373,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,0,4200993016,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,1,2599807754,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,1,4217770635,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,2,2583030135,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,2,4234548254,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,3,2566252516,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,3,4251325873,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,4,2549474897,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,4,4268103492,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,5,2532697278,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,5,4284881111,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,6,2515919659,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,6,6691434,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,7,2499142040,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,7,23469053,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,8,2482364421,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,8,4066772064,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,9,2465586802,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,9,4083549683,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,10,723602510,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,10,2091875425,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,11,740380129,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,11,2075097806,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,12,690047272,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,12,2058320187,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,13,706824891,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,13,2041542568,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,14,790712986,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,14,2158985901,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,15,807490605,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,15,2142208282,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,16,757157748,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,16,2125430663,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,17,773935367,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,17,2108653044,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,18,589381558,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,18,1957654473,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,19,606159177,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,19,1940876854,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,20,2770221765,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,20,2192688234,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,21,2753444146,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,21,2209465853,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,22,2736666527,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,22,2159132996,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,23,2719888908,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,23,2175910615,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,24,2703111289,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,24,2125577758,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,25,2686333670,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,25,2142355377,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,26,2669556051,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,26,2092022520,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,27,2652778432,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,27,2108800139,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,28,2904442717,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,28,2058467282,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,29,2887665098,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,29,2075244901,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,30,2669408956,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,30,1756617235,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,31,2686186575,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,31,1739839616,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,32,2702964194,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,32,1790172473,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,33,2719741813,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,33,1773394854,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,34,2602298480,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,34,1823727711,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,35,2619076099,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,35,1806950092,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,36,2635853718,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,36,1857282949,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,37,2652631337,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,37,1840505330,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,38,2803629908,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,38,1890838187,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,39,2820407527,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,39,1874060568,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,40,2568596147,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,40,4004965276,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,41,2551818528,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,41,4021742895,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,42,2602151385,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,42,4038520514,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,43,2585373766,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,43,4055298133,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,44,2635706623,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,44,3937854800,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,45,2618929004,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,45,3954632419,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,46,2669261861,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,46,3971410038,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,47,2652484242,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,47,3988187657,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,48,2702817099,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,48,4139186228,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,49,2686039480,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,49,4155963847,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,50,857131914,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,50,4105778085,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,51,873909533,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,51,4089000466,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,52,823576676,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,52,4072222847,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,53,840354295,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,53,4055445228,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,54,790021438,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,54,4038667609,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,55,806799057,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,55,4021889990,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,56,756466200,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,56,4005112371,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,57,773243819,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,57,3988334752,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,58,722910962,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,58,4239999037,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,59,739688581,true,a,14.25,false,40,0
brawler-base,longshot-base,Brawler base,Longshot base,target-b,59,4223221418,false,a,13.85,false,243,0
brawler-base,longshot-base,Brawler base,Longshot base,target-a,60,756319105,true,a,14.25,false,40,0
